Dependency=Geometry Building Type ACS	Dependency=PUMA	Option=<1940	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	source_count	source_weight	sampling_probability
Mobile Home	"AL, 00302"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	37	894	6.70E-06
Single-Family Attached	"AL, 00302"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	65	1081	8.10E-06
Single-Family Detached	"AL, 00302"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1812	31647	0.000237202
10 to 19 Unit	"AL, 00400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	16	450	3.35E-06
2 Unit	"AL, 00400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	91	1379	1.03E-05
20 to 49 Unit	"AL, 00400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1428	76	5.65E-07
3 or 4 Unit	"AL, 00400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	62	1061	7.89E-06
5 to 9 Unit	"AL, 00400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	52	1151	8.56E-06
50 or more Unit	"AL, 00400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1994	106	7.89E-07
Mobile Home	"AL, 00400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	641	12433	9.25E-05
Single-Family Attached	"AL, 00400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	31	465	3.46E-06
Single-Family Detached	"AL, 00400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2534	39229	0.000291817
10 to 19 Unit	"AL, 00500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	52	409	2.99E-06
2 Unit	"AL, 00500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	144	1137	8.31E-06
20 to 49 Unit	"AL, 00500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	21	278	2.03E-06
3 or 4 Unit	"AL, 00500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	110	1078	7.88E-06
5 to 9 Unit	"AL, 00500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	143	1341	9.81E-06
50 or more Unit	"AL, 00500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	14	271	1.98E-06
Mobile Home	"AL, 00500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	372	6962	5.09E-05
Single-Family Attached	"AL, 00500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	53	409	2.99E-06
Single-Family Detached	"AL, 00500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	3461	41286	0.000301921
10 to 19 Unit	"AL, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	29	1206	8.97E-06
2 Unit	"AL, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	41	917	6.82E-06
20 to 49 Unit	"AL, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	38	1117	8.30E-06
3 or 4 Unit	"AL, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	73	2113	1.57E-05
5 to 9 Unit	"AL, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	77	2217	1.65E-05
50 or more Unit	"AL, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	32	814	6.05E-06
Mobile Home	"AL, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	356	9555	7.10E-05
Single-Family Attached	"AL, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	85	1542	1.15E-05
Single-Family Detached	"AL, 00600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2445	47865	0.000355878
10 to 19 Unit	"AL, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	23	597	4.40E-06
2 Unit	"AL, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	46	721	5.31E-06
20 to 49 Unit	"AL, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	21	317	2.34E-06
3 or 4 Unit	"AL, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	35	905	6.67E-06
5 to 9 Unit	"AL, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	47	1166	8.59E-06
50 or more Unit	"AL, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	11	119	8.77E-07
Mobile Home	"AL, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	605	12397	9.13E-05
Single-Family Attached	"AL, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	19	336	2.48E-06
Single-Family Detached	"AL, 00700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1926	34953	0.000257504
10 to 19 Unit	"AL, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	13	406	2.98E-06
2 Unit	"AL, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	46	1029	7.54E-06
20 to 49 Unit	"AL, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1428	163	1.19E-06
3 or 4 Unit	"AL, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	33	597	4.37E-06
5 to 9 Unit	"AL, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	39	1351	9.90E-06
50 or more Unit	"AL, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1994	84	6.16E-07
Mobile Home	"AL, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	611	15485	0.00011347
Single-Family Attached	"AL, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	28	754	5.53E-06
Single-Family Detached	"AL, 00800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1930	41282	0.000302504
10 to 19 Unit	"AL, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	32	656	4.90E-06
2 Unit	"AL, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	46	788	5.89E-06
20 to 49 Unit	"AL, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	18	362	2.71E-06
3 or 4 Unit	"AL, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	67	1550	1.16E-05
5 to 9 Unit	"AL, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	62	1493	1.12E-05
50 or more Unit	"AL, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	23	410	3.06E-06
Mobile Home	"AL, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	246	5372	4.02E-05
Single-Family Attached	"AL, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	14	364	2.72E-06
Single-Family Detached	"AL, 00900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1852	36709	0.000274404
10 to 19 Unit	"AL, 01000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	22	668	4.93E-06
2 Unit	"AL, 01000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	87	2047	1.51E-05
20 to 49 Unit	"AL, 01000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	24	527	3.89E-06
3 or 4 Unit	"AL, 01000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	71	1655	1.22E-05
5 to 9 Unit	"AL, 01000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	56	1545	1.14E-05
50 or more Unit	"AL, 01000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	14	248	1.83E-06
Mobile Home	"AL, 01000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	869	20958	0.000154671
Single-Family Attached	"AL, 01000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	24	366	2.70E-06
Single-Family Detached	"AL, 01000"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2520	52166	0.000384987
10 to 19 Unit	"AL, 01100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	38	902	6.73E-06
2 Unit	"AL, 01100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	46	1036	7.73E-06
20 to 49 Unit	"AL, 01100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	22	525	3.92E-06
3 or 4 Unit	"AL, 01100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	52	1270	9.48E-06
5 to 9 Unit	"AL, 01100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	68	2148	1.60E-05
50 or more Unit	"AL, 01100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	29	393	2.93E-06
Mobile Home	"AL, 01100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	343	8518	6.36E-05
Single-Family Attached	"AL, 01100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	37	830	6.20E-06
Single-Family Detached	"AL, 01100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1700	38009	0.000283696
10 to 19 Unit	"AL, 01200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	112	3438	2.48E-05
2 Unit	"AL, 01200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	20	434	3.13E-06
20 to 49 Unit	"AL, 01200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	53	2069	1.49E-05
3 or 4 Unit	"AL, 01200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	47	1203	8.68E-06
5 to 9 Unit	"AL, 01200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	104	2480	1.79E-05
50 or more Unit	"AL, 01200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	57	1167	8.42E-06
Mobile Home	"AL, 01200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	355	6911	4.99E-05
Single-Family Attached	"AL, 01200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	205	4545	3.28E-05
Single-Family Detached	"AL, 01200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	3183	64741	0.00046718
10 to 19 Unit	"AL, 01301"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	98	2582	1.96E-05
2 Unit	"AL, 01301"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	48	1365	1.03E-05
20 to 49 Unit	"AL, 01301"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	61	1678	1.27E-05
3 or 4 Unit	"AL, 01301"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	86	2388	1.81E-05
5 to 9 Unit	"AL, 01301"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	122	3721	2.82E-05
50 or more Unit	"AL, 01301"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	53	1149	8.70E-06
Mobile Home	"AL, 01301"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	38	874	6.62E-06
Single-Family Attached	"AL, 01301"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	28	538	4.07E-06
Single-Family Detached	"AL, 01301"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1555	36481	0.000276314
10 to 19 Unit	"AL, 01302"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	183	4951	3.69E-05
2 Unit	"AL, 01302"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	39	955	7.13E-06
20 to 49 Unit	"AL, 01302"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	148	3586	2.68E-05
3 or 4 Unit	"AL, 01302"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	117	3381	2.52E-05
5 to 9 Unit	"AL, 01302"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	189	5683	4.24E-05
50 or more Unit	"AL, 01302"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	181	3913	2.92E-05
Mobile Home	"AL, 01302"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	20	562	4.19E-06
Single-Family Attached	"AL, 01302"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	47	886	6.61E-06
Single-Family Detached	"AL, 01302"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1360	31192	0.00023274
10 to 19 Unit	"AL, 01303"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	237	8022	5.90E-05
2 Unit	"AL, 01303"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	21	723	5.32E-06
20 to 49 Unit	"AL, 01303"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	135	5327	3.92E-05
3 or 4 Unit	"AL, 01303"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	118	3130	2.30E-05
5 to 9 Unit	"AL, 01303"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	199	5746	4.23E-05
50 or more Unit	"AL, 01303"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	171	4771	3.51E-05
Mobile Home	"AL, 01303"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	33	814	5.99E-06
Single-Family Attached	"AL, 01303"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	175	3595	2.64E-05
Single-Family Detached	"AL, 01303"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2117	45185	0.000332372
10 to 19 Unit	"AL, 01304"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	66	2749	2.08E-05
2 Unit	"AL, 01304"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	32	1045	7.92E-06
20 to 49 Unit	"AL, 01304"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	22	774	5.87E-06
3 or 4 Unit	"AL, 01304"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	56	1772	1.34E-05
5 to 9 Unit	"AL, 01304"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	93	3890	2.95E-05
50 or more Unit	"AL, 01304"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	24	524	3.97E-06
Mobile Home	"AL, 01304"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	190	4137	3.14E-05
Single-Family Attached	"AL, 01304"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	55	1321	1.00E-05
Single-Family Detached	"AL, 01304"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2623	58249	0.000441627
10 to 19 Unit	"AL, 01305"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	31	1246	9.01E-06
2 Unit	"AL, 01305"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	34	958	6.93E-06
20 to 49 Unit	"AL, 01305"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	17	731	5.29E-06
3 or 4 Unit	"AL, 01305"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	17	443	3.20E-06
5 to 9 Unit	"AL, 01305"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	33	1296	9.38E-06
50 or more Unit	"AL, 01305"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	18	545	3.94E-06
Mobile Home	"AL, 01305"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	125	2379	1.72E-05
Single-Family Attached	"AL, 01305"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	31	706	5.11E-06
Single-Family Detached	"AL, 01305"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1891	41797	0.000302381
10 to 19 Unit	"AL, 01400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	15	292	2.18E-06
2 Unit	"AL, 01400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	88	1821	1.36E-05
20 to 49 Unit	"AL, 01400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	12	215	1.61E-06
