Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=Vented Crawlspace	Option=Unvented Crawlspace	Option=Heated Basement	Option=Ambient	Option=Slab	Option=Unheated Basement	sampling_probability
2A	Multi-Family with 2 - 4 Units	2010s	0	0	1	0	0	0	0.000361635
2A	Multi-Family with 2 - 4 Units	<1940	0	0	0	0	0	1	0.000466167
2A	Multi-Family with 5+ Units	1940-59	0	0	0	0	0	1	0.000671577
2A	Multi-Family with 5+ Units	1960-79	0	0	1	0	0	0	0.0060374
2A	Multi-Family with 5+ Units	1980-99	0	0	1	0	0	0	0.00863546
2A	Multi-Family with 5+ Units	2000-09	0	0	1	0	0	0	0.00436986
2A	Multi-Family with 5+ Units	2010s	0	0	1	0	0	0	0.00228009
2A	Multi-Family with 5+ Units	<1940	0	0	0	0	0	1	0.000316145
2A	Single-Family Attached	1940-59	0	0	0	0	0	1	0.000249624
2A	Single-Family Attached	1960-79	0	0	1	0	0	0	0.000961497
2A	Single-Family Attached	1980-99	0	0	1	0	0	0	0.00178249
2A	Single-Family Attached	2000-09	0	0	1	0	0	0	0.00111389
2A	Single-Family Attached	2010s	0	0	1	0	0	0	0.000384815
2A	Single-Family Attached	<1940	0	0	0	0	0	1	0.000117025
2A	Single-Family Detached	1940-59	0	0	0	0	0	1	0.00905698
2A	Single-Family Detached	1960-79	0	0	1	0	0	0	0.017353
2A	Single-Family Detached	1980-99	0	0	1	0	0	0	0.0215113
2A	Single-Family Detached	2000-09	0	0	1	0	0	0	0.0149045
2A	Single-Family Detached	2010s	0	0	1	0	0	0	0.00564328
2A	Single-Family Detached	<1940	0	0	0	0	0	1	0.0027909
2B	Mobile Home	1940-59	0	0	0	0	0	1	2.88E-05
2B	Mobile Home	1960-79	0	0	1	0	0	0	0.000498437
2B	Mobile Home	1980-99	0	0	1	0	0	0	0.000857738
2B	Mobile Home	2000-09	0	0	1	0	0	0	0.000287278
2B	Mobile Home	2010s	0	0	1	0	0	0	8.58E-05
2B	Mobile Home	<1940	0	0	0	0	0	1	1.01E-05
2B	Multi-Family with 2 - 4 Units	1940-59	0	0	0	0	0	1	7.92E-05
2B	Multi-Family with 2 - 4 Units	1960-79	0	0	1	0	0	0	0.000317125
2B	Multi-Family with 2 - 4 Units	1980-99	0	0	1	0	0	0	0.000400038
2B	Multi-Family with 2 - 4 Units	2000-09	0	0	1	0	0	0	0.000134912
2B	Multi-Family with 2 - 4 Units	2010s	0	0	1	0	0	0	4.06E-05
2B	Multi-Family with 2 - 4 Units	<1940	0	0	0	0	0	1	2.04E-05
2B	Multi-Family with 5+ Units	1940-59	0	0	0	0	0	1	0.000138964
2B	Multi-Family with 5+ Units	1960-79	0	0	1	0	0	0	0.000846357
2B	Multi-Family with 5+ Units	1980-99	0	0	1	0	0	0	0.00156928
2B	Multi-Family with 5+ Units	2000-09	0	0	1	0	0	0	0.000554294
2B	Multi-Family with 5+ Units	2010s	0	0	1	0	0	0	0.000279545
2B	Multi-Family with 5+ Units	<1940	0	0	0	0	0	1	3.08E-05
2B	Single-Family Attached	1940-59	0	0	0	0	0	1	6.25E-05
2B	Single-Family Attached	1960-79	0	0	1	0	0	0	0.000370843
2B	Single-Family Attached	1980-99	0	0	1	0	0	0	0.000380746
2B	Single-Family Attached	2000-09	0	0	1	0	0	0	0.000142427
2B	Single-Family Attached	2010s	0	0	1	0	0	0	3.32E-05
2B	Single-Family Attached	<1940	0	0	0	0	0	1	1.32E-05
2B	Single-Family Detached	1940-59	0	0	0	0	0	1	0.00119906
2B	Single-Family Detached	1960-79	0	0	1	0	0	0	0.00276198
2B	Single-Family Detached	1980-99	0	0	1	0	0	0	0.00415076
2B	Single-Family Detached	2000-09	0	0	1	0	0	0	0.00354752
2B	Single-Family Detached	2010s	0	0	1	0	0	0	0.000818161
2B	Single-Family Detached	<1940	0	0	0	0	0	1	0.000207748
3A	Mobile Home	1940-59	0	0	0	0	0	1	0.000168848
3A	Mobile Home	1960-79	0	0	1	0	0	0	0.00244209
3A	Mobile Home	1980-99	0	0	1	0	0	0	0.00842103
3A	Mobile Home	2000-09	0	0	1	0	0	0	0.00261075
3A	Mobile Home	2010s	0	0	1	0	0	0	0.000835147
3A	Mobile Home	<1940	0	0	0	0	0	1	5.57E-05
3A	Multi-Family with 2 - 4 Units	1940-59	0	0	0	0	0	1	0.000723373
3A	Multi-Family with 2 - 4 Units	1960-79	0	0	1	0	0	0	0.00215097
3A	Multi-Family with 2 - 4 Units	1980-99	0	0	1	0	0	0	0.00238463
3A	Multi-Family with 2 - 4 Units	2000-09	0	0	1	0	0	0	0.000778798
3A	Multi-Family with 2 - 4 Units	2010s	0	0	1	0	0	0	0.00039384
3A	Multi-Family with 2 - 4 Units	<1940	0	0	0	0	0	1	0.000346584
3A	Multi-Family with 5+ Units	1940-59	0	0	0	0	0	1	0.000836264
3A	Multi-Family with 5+ Units	1960-79	0	0	1	0	0	0	0.00485141
3A	Multi-Family with 5+ Units	1980-99	0	0	1	0	0	0	0.0077895
3A	Multi-Family with 5+ Units	2000-09	0	0	1	0	0	0	0.00348514
3A	Multi-Family with 5+ Units	2010s	0	0	1	0	0	0	0.00219422
3A	Multi-Family with 5+ Units	<1940	0	0	0	0	0	1	0.000409688
3A	Single-Family Attached	1940-59	0	0	0	0	0	1	0.000274588
3A	Single-Family Attached	1960-79	0	0	1	0	0	0	0.000732689
3A	Single-Family Attached	1980-99	0	0	1	0	0	0	0.00117854
3A	Single-Family Attached	2000-09	0	0	1	0	0	0	0.00105665
3A	Single-Family Attached	2010s	0	0	1	0	0	0	0.000335921
3A	Single-Family Attached	<1940	0	0	0	0	0	1	0.000111126
3A	Single-Family Detached	1940-59	0	0	0	0	0	1	0.0131894
3A	Single-Family Detached	1960-79	0	0	1	0	0	0	0.0242527
3A	Single-Family Detached	1980-99	0	0	1	0	0	0	0.0251572
3A	Single-Family Detached	2000-09	0	0	1	0	0	0	0.0157163
3A	Single-Family Detached	2010s	0	0	1	0	0	0	0.0056318
3A	Single-Family Detached	<1940	0	0	0	0	0	1	0.00537316
3B	Mobile Home	1940-59	0	0	0	0	0	1	0.000176039
3B	Mobile Home	1960-79	0	0	1	0	0	0	0.00182188
3B	Mobile Home	1980-99	0	0	1	0	0	0	0.00164004
3B	Mobile Home	2000-09	0	0	1	0	0	0	0.00058411
3B	Mobile Home	2010s	0	0	1	0	0	0	0.000174238
3B	Mobile Home	<1940	0	0	0	0	0	1	3.23E-05
3B	Multi-Family with 2 - 4 Units	1940-59	0	0	0	0	0	1	0.00114217
3B	Multi-Family with 2 - 4 Units	1960-79	0	0	1	0	0	0	0.00240751
3B	Multi-Family with 2 - 4 Units	1980-99	0	0	1	0	0	0	0.00203584
3B	Multi-Family with 2 - 4 Units	2000-09	0	0	1	0	0	0	0.000505482
3B	Multi-Family with 2 - 4 Units	2010s	0	0	1	0	0	0	0.000201419
3B	Multi-Family with 2 - 4 Units	<1940	0	0	0	0	0	1	0.000648787
3B	Multi-Family with 5+ Units	1940-59	0	0	0	0	0	1	0.00228884
3B	Multi-Family with 5+ Units	1960-79	0	0	1	0	0	0	0.00745491
3B	Multi-Family with 5+ Units	1980-99	0	0	1	0	0	0	0.00674865
3B	Multi-Family with 5+ Units	2000-09	0	0	1	0	0	0	0.00237085
3B	Multi-Family with 5+ Units	2010s	0	0	1	0	0	0	0.00116834
3B	Multi-Family with 5+ Units	<1940	0	0	0	0	0	1	0.00114694
3B	Single-Family Attached	1940-59	0	0	0	0	0	1	0.000741824
3B	Single-Family Attached	1960-79	0	0	1	0	0	0	0.00174113
3B	Single-Family Attached	1980-99	0	0	1	0	0	0	0.00190771
3B	Single-Family Attached	2000-09	0	0	1	0	0	0	0.000605056
3B	Single-Family Attached	2010s	0	0	1	0	0	0	0.000208331
3B	Single-Family Attached	<1940	0	0	0	0	0	1	0.000435587
3B	Single-Family Detached	1940-59	0	0	0	0	0	1	0.0127312
3B	Single-Family Detached	1960-79	0	0	1	0	0	0	0.0137439
3B	Single-Family Detached	1980-99	0	0	1	0	0	0	0.0141104
3B	Single-Family Detached	2000-09	0	0	1	0	0	0	0.0084719
3B	Single-Family Detached	2010s	0	0	1	0	0	0	0.00210084
3B	Single-Family Detached	<1940	0	0	0	0	0	1	0.00415171
3C	Mobile Home	1940-59	0	0	0	0	0	1	2.77E-05
3C	Mobile Home	1960-79	0	0	1	0	0	0	0.000333455
3C	Mobile Home	1980-99	0	0	1	0	0	0	0.000184784
3C	Mobile Home	2000-09	0	0	1	0	0	0	9.85E-05
3C	Mobile Home	2010s	0	0	1	0	0	0	3.23E-05
3C	Mobile Home	<1940	0	0	0	0	0	1	6.40E-06
3C	Multi-Family with 2 - 4 Units	1940-59	0	0	0	0	0	1	0.000370051
3C	Multi-Family with 2 - 4 Units	1960-79	0	0	1	0	0	0	0.000708565
3C	Multi-Family with 2 - 4 Units	1980-99	0	0	1	0	0	0	0.000458267
3C	Multi-Family with 2 - 4 Units	2000-09	0	0	1	0	0	0	9.72E-05
3C	Multi-Family with 2 - 4 Units	2010s	0	0	1	0	0	0	3.57E-05
3C	Multi-Family with 2 - 4 Units	<1940	0	0	0	0	0	1	0.00061633
3C	Multi-Family with 5+ Units	1940-59	0	0	0	0	0	1	0.00057974
3C	Multi-Family with 5+ Units	1960-79	0	0	1	0	0	0	0.0019883
3C	Multi-Family with 5+ Units	1980-99	0	0	1	0	0	0	0.00149448
3C	Multi-Family with 5+ Units	2000-09	0	0	1	0	0	0	0.000653707
3C	Multi-Family with 5+ Units	2010s	0	0	1	0	0	0	0.000411626
3C	Multi-Family with 5+ Units	<1940	0	0	0	0	0	1	0.000784265
3C	Single-Family Attached	1940-59	0	0	0	0	0	1	0.000296719
3C	Single-Family Attached	1960-79	0	0	1	0	0	0	0.000646573
3C	Single-Family Attached	1980-99	0	0	1	0	0	0	0.000650574
3C	Single-Family Attached	2000-09	0	0	1	0	0	0	0.000209348
3C	Single-Family Attached	2010s	0	0	1	0	0	0	0.000103737
3C	Single-Family Attached	<1940	0	0	0	0	0	1	0.000247383
3C	Single-Family Detached	1940-59	0	0	0	0	0	1	0.00321501
3C	Single-Family Detached	1960-79	0	0	1	0	0	0	0.00412181
3C	Single-Family Detached	1980-99	0	0	1	0	0	0	0.00242167
3C	Single-Family Detached	2000-09	0	0	1	0	0	0	0.000861774
3C	Single-Family Detached	2010s	0	0	1	0	0	0	0.000238398
3C	Single-Family Detached	<1940	0	0	0	0	0	1	0.00169788
4A	Mobile Home	1940-59	0	0	0	0	0	1	0.000168058
4A	Mobile Home	1960-79	0	0	1	0	0	0	0.00256752
4A	Mobile Home	1980-99	0	0	1	0	0	0	0.0063414
4A	Mobile Home	2000-09	0	0	1	0	0	0	0.0020293
4A	Mobile Home	2010s	0	0	1	0	0	0	0.000504881
4A	Mobile Home	<1940	0	0	0	0	0	1	6.38E-05
4A	Multi-Family with 2 - 4 Units	1940-59	0	0	0	0	0	1	0.00361321
4A	Multi-Family with 2 - 4 Units	1960-79	0	0	1	0	0	0	0.00460493
4A	Multi-Family with 2 - 4 Units	1980-99	0	0	1	0	0	0	0.00353698
4A	Multi-Family with 2 - 4 Units	2000-09	0	0	1	0	0	0	0.00139957
4A	Multi-Family with 2 - 4 Units	2010s	0	0	1	0	0	0	0.000566851
4A	Multi-Family with 2 - 4 Units	<1940	0	0	0	0	0	1	0.00584987
4A	Multi-Family with 5+ Units	1940-59	0	0	0	0	0	1	0.00651432
4A	Multi-Family with 5+ Units	1960-79	0	0	1	0	0	0	0.0123728
4A	Multi-Family with 5+ Units	1980-99	0	0	1	0	0	0	0.010162
4A	Multi-Family with 5+ Units	2000-09	0	0	1	0	0	0	0.00485895
4A	Multi-Family with 5+ Units	2010s	0	0	1	0	0	0	0.00322102
4A	Multi-Family with 5+ Units	<1940	0	0	0	0	0	1	0.00876822
4A	Single-Family Attached	1940-59	0	0	0	0	0	1	0.00326344
4A	Single-Family Attached	1960-79	0	0	1	0	0	0	0.00321916
4A	Single-Family Attached	1980-99	0	0	1	0	0	0	0.00543915
4A	Single-Family Attached	2000-09	0	0	1	0	0	0	0.00258724
4A	Single-Family Attached	2010s	0	0	1	0	0	0	0.00102981
4A	Single-Family Attached	<1940	0	0	0	0	0	1	0.00427756
4A	Single-Family Detached	1940-59	0	0	0	0	0	1	0.02436
4A	Single-Family Detached	1960-79	0	0	1	0	0	0	0.0306327
4A	Single-Family Detached	1980-99	0	0	1	0	0	0	0.0284144
4A	Single-Family Detached	2000-09	0	0	1	0	0	0	0.0153843
4A	Single-Family Detached	2010s	0	0	1	0	0	0	0.00479528
4A	Single-Family Detached	<1940	0	0	0	0	0	1	0.0161123
4B	Mobile Home	1940-59	0	0	0	0	0	1	2.06E-05
4B	Mobile Home	1960-79	0	0	1	0	0	0	0.000279468
4B	Mobile Home	1980-99	0	0	1	0	0	0	0.000459807
4B	Mobile Home	2000-09	0	0	1	0	0	0	0.000141605
4B	Mobile Home	2010s	0	0	1	0	0	0	3.39E-05
4B	Mobile Home	<1940	0	0	0	0	0	1	3.52E-06
4B	Multi-Family with 2 - 4 Units	1940-59	0	0	0	0	0	1	6.05E-05
4B	Multi-Family with 2 - 4 Units	1960-79	0	0	1	0	0	0	0.000154828
4B	Multi-Family with 2 - 4 Units	1980-99	0	0	1	0	0	0	0.000141374
4B	Multi-Family with 2 - 4 Units	2000-09	0	0	1	0	0	0	3.64E-05
4B	Multi-Family with 2 - 4 Units	2010s	0	0	1	0	0	0	1.88E-05
4B	Multi-Family with 2 - 4 Units	<1940	0	0	0	0	0	1	1.89E-05
4B	Multi-Family with 5+ Units	1940-59	0	0	0	0	0	1	4.75E-05
4B	Multi-Family with 5+ Units	1960-79	0	0	1	0	0	0	0.000276235
4B	Multi-Family with 5+ Units	1980-99	0	0	1	0	0	0	0.000272105
4B	Multi-Family with 5+ Units	2000-09	0	0	1	0	0	0	8.06E-05
4B	Multi-Family with 5+ Units	2010s	0	0	1	0	0	0	5.15E-05
4B	Multi-Family with 5+ Units	<1940	0	0	0	0	0	1	1.92E-05
4B	Single-Family Attached	1940-59	0	0	0	0	0	1	2.27E-05
4B	Single-Family Attached	1960-79	0	0	1	0	0	0	5.88E-05
4B	Single-Family Attached	1980-99	0	0	1	0	0	0	9.18E-05
4B	Single-Family Attached	2000-09	0	0	1	0	0	0	4.11E-05
4B	Single-Family Attached	2010s	0	0	1	0	0	0	1.49E-05
4B	Single-Family Attached	<1940	0	0	0	0	0	1	9.08E-06
4B	Single-Family Detached	1940-59	0	0	0	0	0	1	0.00103191
4B	Single-Family Detached	1960-79	0	0	1	0	0	0	0.00154986
4B	Single-Family Detached	1980-99	0	0	1	0	0	0	0.00147186
4B	Single-Family Detached	2000-09	0	0	1	0	0	0	0.000824466
4B	Single-Family Detached	2010s	0	0	1	0	0	0	0.000177039
4B	Single-Family Detached	<1940	0	0	0	0	0	1	0.000369135
4C	Mobile Home	1940-59	0	0	0	0	0	1	3.06E-05
4C	Mobile Home	1960-79	0	0	1	0	0	0	0.000637528
4C	Mobile Home	1980-99	0	0	1	0	0	0	0.000852791
4C	Mobile Home	2000-09	0	0	1	0	0	0	0.000186274
4C	Mobile Home	2010s	0	0	1	0	0	0	4.64E-05
4C	Mobile Home	<1940	0	0	0	0	0	1	1.21E-05
4C	Multi-Family with 2 - 4 Units	1940-59	0	0	0	0	0	1	0.000194509
4C	Multi-Family with 2 - 4 Units	1960-79	0	0	1	0	0	0	0.000622832
4C	Multi-Family with 2 - 4 Units	1980-99	0	0	1	0	0	0	0.000572632
4C	Multi-Family with 2 - 4 Units	2000-09	0	0	1	0	0	0	0.000199422
4C	Multi-Family with 2 - 4 Units	2010s	0	0	1	0	0	0	7.46E-05
4C	Multi-Family with 2 - 4 Units	<1940	0	0	0	0	0	1	0.000175448
4C	Multi-Family with 5+ Units	1940-59	0	0	0	0	0	1	0.000310995
4C	Multi-Family with 5+ Units	1960-79	0	0	1	0	0	0	0.00158872
4C	Multi-Family with 5+ Units	1980-99	0	0	1	0	0	0	0.00207886
4C	Multi-Family with 5+ Units	2000-09	0	0	1	0	0	0	0.000912963
4C	Multi-Family with 5+ Units	2010s	0	0	1	0	0	0	0.000651252
4C	Multi-Family with 5+ Units	<1940	0	0	0	0	0	1	0.000387312
4C	Single-Family Attached	1940-59	0	0	0	0	0	1	8.93E-05
4C	Single-Family Attached	1960-79	0	0	1	0	0	0	0.000272467
4C	Single-Family Attached	1980-99	0	0	1	0	0	0	0.000398066
4C	Single-Family Attached	2000-09	0	0	1	0	0	0	0.000354794
4C	Single-Family Attached	2010s	0	0	1	0	0	0	0.000107595
4C	Single-Family Attached	<1940	0	0	0	0	0	1	5.63E-05
4C	Single-Family Detached	1940-59	0	0	0	0	0	1	0.0028988
4C	Single-Family Detached	1960-79	0	0	1	0	0	0	0.00459283
4C	Single-Family Detached	1980-99	0	0	1	0	0	0	0.00474696
4C	Single-Family Detached	2000-09	0	0	1	0	0	0	0.0026384
4C	Single-Family Detached	2010s	0	0	1	0	0	0	0.000929726
4C	Single-Family Detached	<1940	0	0	0	0	0	1	0.00236142
5A	Mobile Home	1940-59	0	0	0	0	0	1	0.000171635
5A	Mobile Home	1960-79	0	0	1	0	0	0	0.00231635
5A	Mobile Home	1980-99	0	0	1	0	0	0	0.00351694
5A	Mobile Home	2000-09	0	0	1	0	0	0	0.000922268
5A	Mobile Home	2010s	0	0	1	0	0	0	0.000329923
5A	Mobile Home	<1940	0	0	0	0	0	1	1.00E-04
5A	Multi-Family with 2 - 4 Units	1940-59	0	0	0	0	0	1	0.00406654
5A	Multi-Family with 2 - 4 Units	1960-79	0	0	1	0	0	0	0.0049842
5A	Multi-Family with 2 - 4 Units	1980-99	0	0	1	0	0	0	0.00352173
5A	Multi-Family with 2 - 4 Units	2000-09	0	0	1	0	0	0	0.00105167
5A	Multi-Family with 2 - 4 Units	2010s	0	0	1	0	0	0	0.000449891
5A	Multi-Family with 2 - 4 Units	<1940	0	0	0	0	0	1	0.0107494
5A	Multi-Family with 5+ Units	1940-59	0	0	0	0	0	1	0.00365188
5A	Multi-Family with 5+ Units	1960-79	0	0	1	0	0	0	0.0119088
5A	Multi-Family with 5+ Units	1980-99	0	0	1	0	0	0	0.00928202
5A	Multi-Family with 5+ Units	2000-09	0	0	1	0	0	0	0.00365252
5A	Multi-Family with 5+ Units	2010s	0	0	1	0	0	0	0.00208849
5A	Multi-Family with 5+ Units	<1940	0	0	0	0	0	1	0.00555555
5A	Single-Family Attached	1940-59	0	0	0	0	0	1	0.00140205
5A	Single-Family Attached	1960-79	0	0	1	0	0	0	0.00232971
5A	Single-Family Attached	1980-99	0	0	1	0	0	0	0.0040488
5A	Single-Family Attached	2000-09	0	0	1	0	0	0	0.00231803
5A	Single-Family Attached	2010s	0	0	1	0	0	0	0.00063875
5A	Single-Family Attached	<1940	0	0	0	0	0	1	0.00250282
5A	Single-Family Detached	1940-59	0	0	0	0	0	1	0.0348329
5A	Single-Family Detached	1960-79	0	0	1	0	0	0	0.0355278
5A	Single-Family Detached	1980-99	0	0	1	0	0	0	0.0262829
5A	Single-Family Detached	2000-09	0	0	1	0	0	0	0.013109
5A	Single-Family Detached	2010s	0	0	1	0	0	0	0.00363641
5A	Single-Family Detached	<1940	0	0	0	0	0	1	0.0318382
5B	Mobile Home	1940-59	0	0	0	0	0	1	4.53E-05
5B	Mobile Home	1960-79	0	0	1	0	0	0	0.000954404
5B	Mobile Home	1980-99	0	0	1	0	0	0	0.00134283
5B	Mobile Home	2000-09	0	0	1	0	0	0	0.000343297
5B	Mobile Home	2010s	0	0	1	0	0	0	9.76E-05
5B	Mobile Home	<1940	0	0	0	0	0	1	2.06E-05
5B	Multi-Family with 2 - 4 Units	1940-59	0	0	0	0	0	1	0.000251792
5B	Multi-Family with 2 - 4 Units	1960-79	0	0	1	0	0	0	0.000705022
5B	Multi-Family with 2 - 4 Units	1980-99	0	0	1	0	0	0	0.000678206
5B	Multi-Family with 2 - 4 Units	2000-09	0	0	1	0	0	0	0.000241407
5B	Multi-Family with 2 - 4 Units	2010s	0	0	1	0	0	0	9.41E-05
5B	Multi-Family with 2 - 4 Units	<1940	0	0	0	0	0	1	0.000210438
5B	Multi-Family with 5+ Units	1940-59	0	0	0	0	0	1	0.000322331
5B	Multi-Family with 5+ Units	1960-79	0	0	1	0	0	0	0.0017949
5B	Multi-Family with 5+ Units	1980-99	0	0	1	0	0	0	0.00201205
5B	Multi-Family with 5+ Units	2000-09	0	0	1	0	0	0	0.000958026
5B	Multi-Family with 5+ Units	2010s	0	0	1	0	0	0	0.000703889
5B	Multi-Family with 5+ Units	<1940	0	0	0	0	0	1	0.000274972
5B	Single-Family Attached	1940-59	0	0	0	0	0	1	0.000132615
5B	Single-Family Attached	1960-79	0	0	1	0	0	0	0.000456675
5B	Single-Family Attached	1980-99	0	0	1	0	0	0	0.000672629
5B	Single-Family Attached	2000-09	0	0	1	0	0	0	0.000481167
5B	Single-Family Attached	2010s	0	0	1	0	0	0	0.000184586
5B	Single-Family Attached	<1940	0	0	0	0	0	1	9.02E-05
5B	Single-Family Detached	1940-59	0	0	0	0	0	1	0.003443
5B	Single-Family Detached	1960-79	0	0	1	0	0	0	0.00596402
5B	Single-Family Detached	1980-99	0	0	1	0	0	0	0.00708562
5B	Single-Family Detached	2000-09	0	0	1	0	0	0	0.00473734
5B	Single-Family Detached	2010s	0	0	1	0	0	0	0.00152358
5B	Single-Family Detached	<1940	0	0	0	0	0	1	0.00230904
6A	Mobile Home	1940-59	0	0	0	0	0	1	6.86E-05
6A	Mobile Home	1960-79	0	0	1	0	0	0	0.00106579
6A	Mobile Home	1980-99	0	0	1	0	0	0	0.00164174
6A	Mobile Home	2000-09	0	0	1	0	0	0	0.000448185
6A	Mobile Home	2010s	0	0	1	0	0	0	0.000117651
6A	Mobile Home	<1940	0	0	0	0	0	1	3.19E-05
6A	Multi-Family with 2 - 4 Units	1940-59	0	0	0	0	0	1	0.000781934
6A	Multi-Family with 2 - 4 Units	1960-79	0	0	1	0	0	0	0.00103194
6A	Multi-Family with 2 - 4 Units	1980-99	0	0	1	0	0	0	0.000845418
6A	Multi-Family with 2 - 4 Units	2000-09	0	0	1	0	0	0	0.000252553
6A	Multi-Family with 2 - 4 Units	2010s	0	0	1	0	0	0	9.81E-05
6A	Multi-Family with 2 - 4 Units	<1940	0	0	0	0	0	1	0.0020952
6A	Multi-Family with 5+ Units	1940-59	0	0	0	0	0	1	0.000651549
6A	Multi-Family with 5+ Units	1960-79	0	0	1	0	0	0	0.00253407
6A	Multi-Family with 5+ Units	1980-99	0	0	1	0	0	0	0.00265105
6A	Multi-Family with 5+ Units	2000-09	0	0	1	0	0	0	0.00108802
6A	Multi-Family with 5+ Units	2010s	0	0	1	0	0	0	0.0007158
6A	Multi-Family with 5+ Units	<1940	0	0	0	0	0	1	0.00105038
6A	Single-Family Attached	1940-59	0	0	0	0	0	1	0.000171197
6A	Single-Family Attached	1960-79	0	0	1	0	0	0	0.000478029
6A	Single-Family Attached	1980-99	0	0	1	0	0	0	0.0010436
6A	Single-Family Attached	2000-09	0	0	1	0	0	0	0.000716396
6A	Single-Family Attached	2010s	0	0	1	0	0	0	0.000162116
6A	Single-Family Attached	<1940	0	0	0	0	0	1	0.000222577
6A	Single-Family Detached	1940-59	0	0	0	0	0	1	0.00743291
6A	Single-Family Detached	1960-79	0	0	1	0	0	0	0.00973223
6A	Single-Family Detached	1980-99	0	0	1	0	0	0	0.00890932
6A	Single-Family Detached	2000-09	0	0	1	0	0	0	0.00473977
6A	Single-Family Detached	2010s	0	0	1	0	0	0	0.00136927
6A	Single-Family Detached	<1940	0	0	0	0	0	1	0.00955618
6B	Mobile Home	1940-59	0	0	0	0	0	1	1.87E-05
6B	Mobile Home	1960-79	0	0	1	0	0	0	0.000433377
6B	Mobile Home	1980-99	0	0	1	0	0	0	0.000398387
6B	Mobile Home	2000-09	0	0	1	0	0	0	0.000114037
6B	Mobile Home	2010s	0	0	1	0	0	0	3.97E-05
6B	Mobile Home	<1940	0	0	0	0	0	1	7.24E-06
6B	Multi-Family with 2 - 4 Units	1940-59	0	0	0	0	0	1	7.99E-05
6B	Multi-Family with 2 - 4 Units	1960-79	0	0	1	0	0	0	0.000175871
6B	Multi-Family with 2 - 4 Units	1980-99	0	0	1	0	0	0	0.000186091
6B	Multi-Family with 2 - 4 Units	2000-09	0	0	1	0	0	0	8.52E-05
6B	Multi-Family with 2 - 4 Units	2010s	0	0	1	0	0	0	4.01E-05
